netlist,time_s,inner_num,cost,run_count,runtime
tseng,29.859512,10.0,93.1881790161,119.0,29.859512
clma,786.20423,10.0,1393.50378418,137.0,786.20423
seq,56.278459,10.0,247.538970947,118.0,56.278459
alu4,44.238387,10.0,191.54133606,122.0,44.238387
s38584_1,565.900327,10.0,656.213745117,135.0,565.900327
bigkey,64.903729,10.0,175.72857666,127.0,64.903729
misex3,40.56037,10.0,189.4662323,120.0,40.56037
s298,58.448125,10.0,204.322906494,125.0,58.448125
spla,188.356813,10.0,595.509765625,128.0,188.356813
diffeq,46.053194,10.0,147.536895752,118.0,46.053194
ex5p,29.087636,10.0,162.09463501,114.0,29.087636
dsip,47.704893,10.0,158.413024902,122.0,47.704893
ex1010,264.907505,10.0,654.792785645,133.0,264.907505
des,64.047718,10.0,199.101089478,122.0,64.047718
pdc,278.458655,10.0,879.96862793,127.0,278.458655
apex2,65.712162,10.0,273.217254639,124.0,65.712162
apex4,34.451788,10.0,180.370895386,117.0,34.451788
elliptic,188.098774,10.0,457.765075684,130.0,188.098774
s38417,569.89013,10.0,660.734619141,136.0,569.89013
s38584_1,565.900327,10.0,656.213745117,135.0,565.900327
frisc,172.702475,10.0,519.536193848,124.0,172.702475
